TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,22, KEY ,1,137,357468,44.323356,49.712236,49.773844,33.688375,22.793017,100.000000,100.000000,46.534208,44.581492,0.011990
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,23, KEY ,1,137,356987,44.318123,49.701004,49.770477,33.715086,22.796142,100.000000,100.000000,46.532364,44.565306,0.021321
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,24, KEY ,1,137,356886,44.330905,49.735706,49.823094,33.702317,22.796123,100.000000,100.000000,46.542012,44.604726,0.013697
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,25, KEY ,1,137,356634,44.312375,49.725695,49.776809,33.654615,22.777384,100.000000,100.000000,46.522503,44.581856,0.009794
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,26, KEY ,1,137,356083,44.326199,49.710593,49.787330,33.666642,22.799596,100.000000,100.000000,46.552068,44.583254,0.017016
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,27, KEY ,1,137,357190,44.322821,49.705821,49.783896,33.713868,22.812140,100.000000,100.000000,46.555102,44.569900,0.013205
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,28, KEY ,1,137,355826,44.314350,49.695241,49.775359,33.744413,22.789571,100.000000,100.000000,46.528037,44.552918,0.019026
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,29, KEY ,1,137,357215,44.319623,49.699589,49.780580,33.771472,22.821758,100.000000,100.000000,46.565275,44.557551,0.017786
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,0, KEY ,1,162,126057,41.898054,47.387346,47.129323,28.101309,19.657710,93.181647,91.447550,41.817060,42.360681,1.127139
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,1, KEY ,1,162,126082,41.905784,47.418448,47.111475,28.099303,19.665465,100.000000,99.061305,41.829979,42.368648,1.100918
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,2, KEY ,1,162,125798,41.918350,47.452081,47.150885,28.182649,19.690337,100.000000,99.150215,41.858860,42.411423,1.123896
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,3, KEY ,1,162,126048,41.923783,47.461073,47.122758,28.164460,19.696414,100.000000,99.068491,41.846660,42.414758,1.156530
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,4, KEY ,1,162,126076,41.924434,47.429223,47.147947,28.191174,19.698203,100.000000,99.078365,41.848345,42.404417,1.105380
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,5, KEY ,1,162,126222,41.934515,47.455231,47.157708,28.198349,19.718777,100.000000,99.189626,41.873434,42.410434,1.107298
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,6, KEY ,1,162,126543,41.947537,47.395557,47.149452,28.158358,19.733685,100.000000,99.032060,41.875639,42.410048,1.138196
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,7, KEY ,1,162,126888,41.946374,47.403612,47.189304,28.243892,19.740567,100.000000,99.099354,41.897919,42.426262,1.143043
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,8, KEY ,1,162,126980,41.945807,47.403337,47.131032,28.202454,19.733186,100.000000,99.036941,41.877882,42.424064,1.124765
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,9, KEY ,1,162,126863,41.952330,47.403178,47.132257,28.221147,19.744864,100.000000,99.094406,41.889418,42.420093,1.139590
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,10, KEY ,1,162,126416,41.949775,47.402541,47.172895,28.202625,19.736311,100.000000,99.103600,41.888568,42.425749,1.139867
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,11, KEY ,1,162,126175,41.953398,47.398617,47.135333,28.198178,19.739438,100.000000,99.237500,41.907158,42.423561,1.147960
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,12, KEY ,1,162,125999,41.953765,47.426174,47.151311,28.189980,19.739364,100.000000,99.226395,41.896773,42.440581,1.158421
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,13, KEY ,1,162,126166,41.958829,47.381899,47.163324,28.218741,19.741841,100.000000,99.205282,41.895688,42.433348,1.179885
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,14, KEY ,1,162,126393,41.954211,47.404900,47.166917,28.233538,19.743849,100.000000,99.068796,41.895020,42.448786,1.140073
