TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,60,5586253,48.586961,49.497796,50.878402,50.260628,34.434181,96.984459,96.317642,54.218452,47.755232,48.586961,49.497796,50.878402,0.000002,29286.85,2.54,169425342519724,10814405839,76947935910669,6667886542,31a8edeb9dc9e23d9db238cf41d07b49,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,85,3691285,42.678737,45.899548,48.335008,44.635441,28.429684,96.216377,95.219027,49.610142,43.311588,42.678737,45.899548,48.335008,0.000023,35419.09,2.48,210417706614580,10423267011,93014352526086,6631978409,3a76a876bd7cc52291683ffa7bc3d769,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,110,1977323,36.657464,42.770240,45.918154,38.434243,22.095109,94.168592,92.717809,43.052709,38.720397,36.657464,42.770240,45.918154,0.000358,55497.02,2.10,333816175160232,8832077059,145902232281341,5676415931,238276bc2b27ea1c1c3baaff930ff6e1,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,135,862448,32.044924,40.122544,43.629807,32.173562,17.472712,88.104502,86.155723,36.204639,34.894018,32.044924,40.122544,43.629807,0.001634,97888.97,1.51,570128630883492,6571387873,255864258255158,4179358160,45c0a05119b8f954285c678f89bbe07a,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,160,394632,28.660702,37.518752,41.396348,25.977947,14.086872,73.158326,71.072164,29.997909,31.883719,28.660702,37.518752,41.396348,0.008391,52670.54,1.10,389306409272636,5621026113,179480424205176,4041150784,77976b3e5a65c702bd6009a2258f9374,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,185,173213,25.298142,35.101803,39.260383,19.980169,10.511039,49.308591,47.435715,24.243314,28.832474,25.298142,35.101803,39.260383,0.025676,41192.29,1.14,233601425854400,4949165932,107171343682307,3200212892,d3b132fb0e74ec8f561540c5541a9ceb,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,60,3829023,48.729226,50.604300,50.964262,46.472281,31.427170,96.590531,95.824645,52.652719,48.075882,48.729226,50.604300,50.964262,0.000007,43570.48,2.08,246013369497413,8632260577,113708383877388,5532783186,af45336ac519d4c55fcfa7191a3b70e4,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,85,2136434,42.906151,48.374138,48.738632,40.730437,25.438694,95.275675,94.203414,47.846576,44.178603,42.906151,48.374138,48.738632,0.002076,54421.52,1.90,310968638632806,7633011459,141873290778185,5142323972,ad87c17c632950fd80bf0717961e6b95,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,110,884797,37.745429,46.192367,46.738996,34.413166,19.674947,91.995126,90.441875,41.408412,40.459431,37.745429,46.192367,46.738996,0.241328,55807.35,1.40,327889574089716,5848539255,145624235471846,3823132685,f3aca8d88359b5ee0bfed266a0e09e09,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,135,320504,34.233759,44.176318,44.811106,28.423246,15.229624,84.191312,82.036550,35.021886,37.623905,34.233759,44.176318,44.811106,1.148508,72421.74,1.00,415975855939102,4351781584,188777265279955,2830661130,3b77dfca3e6502f0498fa244080f40ab,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,160,135012,31.744964,42.488877,42.824381,23.102710,12.180014,67.123135,64.949490,30.071061,35.374885,31.744964,42.488877,42.824381,1.793233,37049.48,0.94,206284364394212,3994942513,96656142010629,2661475888,8b7824c98c6d3c12b0a54e1904a08f59,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,185,59639,29.169753,40.636943,40.537509,18.009319,9.598626,42.526347,40.934373,26.005788,32.911749,29.169753,40.636943,40.537509,1.813222,16455.18,0.81,89934214601251,3417658359,42740736711989,2292497514,6290ee5a3e080f70a84e21462629220c,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,60,1034987,51.287591,55.508311,56.077747,43.902992,29.380622,96.448985,95.356844,50.792866,54.112061,51.287591,55.508311,56.077747,0.015727,46355.77,1.10,252964144935621,4189453107,119524943031523,2913393048,b38c9592eee49caf9eeb6e8d3e88555c,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,85,524009,47.576066,53.199942,53.885814,38.366187,24.791296,95.248446,93.791018,46.425500,50.038628,47.576066,53.199942,53.885814,0.040443,34369.87,0.90,202857331996583,3514056637,95641928790718,2623267249,b41ceb6131121de0233c27f4efc260a5,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,110,249980,43.800967,50.869198,51.858087,32.321222,20.335973,91.944831,89.950052,41.418569,46.524183,43.800967,50.869198,51.858087,0.166437,23831.54,0.91,129222919180538,2660378034,61464163748600,2525579698,d4efc1ffe0613eac074f6eb061e552ba,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,135,104966,40.106930,48.368846,49.573881,26.080554,16.229630,82.453328,80.343429,36.630904,43.125310,40.106930,48.368846,49.573881,0.562748,23137.70,0.90,124143984794985,3546722038,59788036263690,2603409742,ec846a63ebce2445293294ebd70eb21a,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,160,41948,37.039281,45.634276,46.785138,20.424251,13.290733,65.087506,63.112395,33.036467,40.213733,37.039281,45.634276,46.785138,0.837201,10938.38,0.74,58658689358680,3287500523,28236794499946,2119711669,0dff53b5493fedaccc481c618327db36,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,185,18390,34.421818,42.281555,43.691540,15.696708,11.182954,47.403523,45.624134,30.199966,37.522031,34.421818,42.281555,43.691540,1.244580,5341.19,0.67,27339619959242,3004530160,13888888910006,2063825316,18b3b8a22b41edb9a287431029cacff8,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,60,2748543,48.815980,52.762106,53.532242,41.565340,29.433947,97.234217,96.614046,50.158478,50.032852,48.815980,52.762106,53.532242,1.061949,41571.83,1.72,233558807406139,6885916167,107831957609873,4529424544,f74cc5d985f5aa7fd62167a8a319ff18,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,85,1436733,43.702800,50.594736,51.308560,35.336384,24.492304,96.846470,95.887411,46.447208,46.054811,43.702800,50.594736,51.308560,7.524102,26913.38,1.39,155458843142120,5081269485,70018950307100,3732523661,64d3825c698ebb37cb2d2c29a175ba77,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,110,746193,39.816981,48.393808,49.231065,31.729887,22.146357,95.397205,93.969753,43.570847,43.196570,39.816981,48.393808,49.231065,11.303918,20237.03,1.31,117773382934780,5462356766,53057490600191,3661681162,958b5d40e8bf9304d11e7a44806ed5b8,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,135,371709,36.110518,46.265943,47.274216,29.182520,20.482042,91.444558,89.335549,40.148294,40.651002,36.110518,46.265943,47.274216,10.967341,38080.90,1.07,214237998630296,4774027016,99321176558265,2975440459,765ce69ab388465ce60469aed28e54d2,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,160,171299,32.246311,43.906133,44.968941,25.772000,18.179244,82.050167,79.147463,35.157576,37.873484,32.246311,43.906133,44.968941,10.627515,29215.18,0.85,159477332362570,3520239356,76229841010310,2369826872,0a1651849839a28c1ea202ccb0510074,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,185,72375,28.482049,41.365043,42.400050,21.434230,14.970333,66.035305,62.615360,29.328588,34.920156,28.482049,41.365043,42.400050,9.090912,19217.18,0.78,107634704411699,3178917354,49981636039661,2193996269,14db5b9c4f44e5fd9a688d2d86a28525,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,60,6058061,48.336861,50.753645,50.638975,49.346853,37.761406,97.059614,96.346901,55.111894,47.019519,48.336861,50.753645,50.638975,0.002590,16230.61,2.65,94915463801377,11484918041,42845661105906,6950250081,d66706275d577e44685a7eff91ec1235,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,85,4218101,42.577886,47.918549,47.738227,43.685955,31.771157,96.381380,95.268674,50.793890,42.913636,42.577886,47.918549,47.738227,0.004168,16066.58,2.09,122847258182213,10437535078,55305916972821,7269768537,1200c3fec1f2f38036143d048685ea58,
