TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,110,0, KEY ,1,112,2610284,36.792669,45.463309,45.094325,37.620225,25.866588,94.367371,92.759354,44.990704,38.719292,0.004916
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,135,0, KEY ,1,137,1354157,31.592465,43.056484,42.540174,31.548669,20.594677,88.959001,86.747026,37.833658,34.640021,0.010685
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,160,0, KEY ,1,162,622412,27.225537,40.612238,39.984384,25.322872,15.812858,74.390810,72.021424,30.136696,30.897779,0.030993
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,185,0, KEY ,1,187,259753,23.489306,38.410832,37.707802,19.322689,11.517986,49.530585,47.610148,23.415887,27.415521,0.064958
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,60,0, KEY ,1,62,1775412,51.306803,52.099486,52.148291,44.696076,28.914824,96.389725,95.495208,49.236775,51.801453,0.557400
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,85,0, KEY ,1,87,705419,47.877315,49.753591,49.923995,38.645053,24.924870,94.562476,93.357890,45.801788,48.584015,1.561332
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,110,0, KEY ,1,112,324681,45.212399,47.422661,47.934697,33.332940,21.937617,90.957699,89.156417,42.634081,46.170807,2.089243
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,135,0, KEY ,1,137,150699,42.196773,44.870342,45.730180,27.877149,18.706954,81.815908,79.796467,38.855649,43.630327,2.486461
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,160,0, KEY ,1,162,66776,38.933819,42.047185,43.310629,22.436718,15.369570,65.614930,63.269462,34.930844,40.872710,3.255402
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,185,0, KEY ,1,187,27420,35.678933,38.939379,40.689339,17.467194,12.247041,43.282634,41.101336,31.283593,37.989263,3.945303
