tag,cfg,class,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
libaom-v3.12.0,AI,A1,1.7140375,-1.717225,-1.80215,1.3342875,-0.3755875,1.1794375000000001,-4.5703625,-6.3058375,0.5693625,0.26167499999999994,1.7116,-1.7166375,-1.79615,1.4310250000000002
libaom-v3.12.0,AI,A2,0.9347,1.9926473684210528,2.762815789473684,1.050821052631579,0.03072105263157893,-0.44767894736842107,-3.340126315789474,-2.619263157894737,2.3038894736842104,3.9274947368421054,0.9295736842105263,1.9928631578947371,2.760157894736842,1.1263894736842106
libaom-v3.12.0,AI,A3,-0.020687499999999998,-1.8434875000000002,-1.9503,-0.1816,-0.6544749999999999,-0.49792499999999995,-2.2940875,-2.318275,-0.9057625,-0.7682875,-0.017374999999999998,-1.844075,-1.95115,-0.20005
libaom-v3.12.0,AI,A4,0.5801999999999999,1.9859666666666669,4.657666666666667,0.7902833333333333,-0.8960500000000001,-0.5316833333333334,-3.9731,-3.2488499999999996,4.6258,3.119566666666667,0.5799,1.9812,4.6326,0.7764666666666667
libaom-v3.12.0,AI,A5,-0.246525,-1.2904,-1.8852250000000002,-0.319775,-1.0516,-0.9016749999999999,-1.34815,-2.070875,-1.156775,-0.279,-0.245675,-1.26725,-1.86365,-0.30425
libaom-v3.12.0,AI,B1,-0.18047999999999997,1.6065200000000002,1.91283,-0.021400000000000027,-0.36172999999999994,-1.142,-4.34131,-3.7613100000000004,3.8657200000000005,5.04345,-0.2381099999999999,1.52347,1.82123,-0.05711000000000001
libaom-v3.12.0,AI,B2,22.696666666666665,11.444288888888888,3.4404777777777777,21.667433333333335,22.227688888888892,21.75951111111111,23.5215,22.544733333333333,20.4839,17.63586666666667,22.545222222222222,11.457566666666667,3.4158999999999997,21.396077777777776
libaom-v3.12.0,AI,E,-0.8951,0.39426874999999995,1.2934,-0.6304125,-0.39111874999999996,-1.0762562500000001,-2.5173,-2.0308875,-0.8801125000000001,-1.29965,-0.7253999999999999,0.4721875,1.2776,-0.7866562500000001
libaom-v3.12.0,AI,G1,-1.1588,-2.8550500000000003,-2.451025,-1.252275,-1.264925,-1.225175,-2.142525,-2.43715,-1.29535,-1.00495,-1.1565,-2.8478,-2.4495,-1.1444999999999999
libaom-v3.12.0,AI,G2,-0.3527285714285715,-2.734842857142857,-2.106357142857143,-0.48558571428571434,-0.15807142857142856,-0.07368571428571426,-3.2606571428571427,-2.6198142857142854,-0.4134571428571428,-0.8442571428571429,-0.3351285714285714,-2.7326857142857146,-2.1081714285714286,-0.4651
libaom-v3.12.0,AS,A1,2.1404,-5.46005,-5.487275,1.1379124999999999,-3.472875,-0.8341375,8.8299625,7.828050000000001,0.39863750000000003,-2.9448374999999998,2.2631125,-5.651775,-5.758325,1.605025
libaom-v3.12.0,LD,A2,11.877052631578948,3.055294736842105,2.6760894736842102,10.902794736842106,9.543957894736844,8.796257894736843,20.334915789473683,19.765431578947368,12.6479,9.92602105263158,17.514021052631577,4.411452631578948,3.463515789473684,16.567805263157894
libaom-v3.12.0,LD,A3,10.787575,14.9790625,18.8447125,11.3560875,8.543275,8.616225,17.567037499999998,16.6946375,10.271975,13.888825,12.267299999999999,14.6941625,18.987325,12.678112500000001
libaom-v3.12.0,LD,A4,9.681216666666666,21.550466666666665,22.338449999999998,10.31155,12.208816666666669,11.538499999999999,10.776166666666667,8.690466666666667,14.899783333333332,17.2918,12.937633333333332,21.544466666666665,21.768583333333336,13.466866666666666
libaom-v3.12.0,LD,A5,11.6313,4.7197,3.6495249999999997,11.019449999999999,11.5068,11.164875,14.161200000000001,13.4114,10.707875,11.2134,14.29375,2.8774000000000006,2.0318,13.912525
libaom-v3.12.0,LD,B1,16.43585,4.4968900000000005,3.09018,15.290090000000001,11.93328,11.67408,24.574289999999998,22.93967,15.90821,16.05435,23.70045,7.96524,5.6560299999999994,22.535680000000003
libaom-v3.12.0,LD,B2,22.156344444444446,19.806255555555556,18.463755555555554,21.83376666666667,19.09982222222222,19.04958888888889,20.356011111111112,21.011055555555558,20.662355555555553,24.45147777777778,21.739688888888892,19.20628888888889,18.439344444444444,21.30648888888889
libaom-v3.12.0,RA,A1,0.13242499999999996,-7.4786125000000006,-7.49595,-0.8872249999999999,-1.7993625,-2.0304125,-0.15121249999999997,-1.002125,-1.3121749999999999,-4.4345125,0.42770000000000014,-7.632575,-7.6196625000000004,-0.4020250000000001
libaom-v3.12.0,RA,A2,-0.09432105263157897,-3.649005263157895,-3.0734894736842104,-0.451278947368421,-1.2129263157894734,-1.2048263157894736,1.7987526315789473,0.9250315789473685,0.22122105263157907,0.11827894736842119,-0.022821052631578888,-4.022368421052631,-3.358978947368421,-0.11741052631578953
libaom-v3.12.0,RA,A3,0.16564999999999996,3.7272000000000003,6.460625,0.646875,-0.23507500000000003,0.0009000000000001229,2.0193125,1.6544000000000003,-0.4618,2.7532125,-0.3832749999999999,3.3956375,6.2820374999999995,0.158325
libaom-v3.12.0,RA,A4,2.0460833333333333,8.1962,8.396966666666668,2.5603166666666666,4.51445,3.8049666666666666,-2.0016,-2.744566666666667,6.0059499999999995,8.647416666666667,2.339466666666667,7.601466666666667,7.8790000000000004,3.028366666666667
libaom-v3.12.0,RA,A5,2.0595,1.7527250000000003,1.6551999999999998,2.0679999999999996,4.340175,3.4171250000000004,-1.447125,-1.6896,1.03515,2.925625,1.469575,0.6084500000000004,0.617175,1.640225
libaom-v3.12.0,RA,B1,3.7012500000000004,0.7278,-1.7109100000000002,3.34125,2.0966,1.9264499999999998,2.34877,1.8811500000000003,4.31849,7.11978,4.203609999999999,1.65319,-1.35896,3.93497
libaom-v3.12.0,RA,B2,19.74052222222222,15.791577777777778,14.567777777777776,19.2848,17.8187,17.51311111111111,18.462488888888892,17.75461111111111,16.727155555555555,18.111611111111113,18.703122222222223,15.358,14.599544444444446,18.25203333333333
libaom-v3.12.0,RA,E,0.023962499999999942,-8.4284875,-8.57344375,-0.89915625,-2.29590625,-2.215875,-0.2364875000000001,-0.28791875,-0.47646875,-3.0805875,-0.6050375,-8.5880125,-8.89704375,-1.0568125
libaom-v3.12.0,RA,G1,0.75075,-7.559825,-13.745225,0.07589999999999986,0.12974999999999992,-0.6232999999999997,2.354475,2.1067,-0.33312499999999967,-4.25195,1.0352499999999996,-8.032725,-13.990750000000002,0.682175
libaom-v3.12.0,RA,G2,3.3992857142857145,-0.6583571428571425,-4.308628571428572,2.8371,1.998314285714286,2.719042857142857,1.6299571428571429,1.181957142857143,1.9432714285714285,2.1808428571428573,3.9376,1.9699000000000004,-3.104357142857143,3.5259
libaom-v3.12.0,Still,F1,0.12138928571428571,-1.2811464285714287,-1.3092785714285713,0.09706428571428569,-0.9168035714285715,-0.2811428571428572,-0.23492500000000005,-0.061614285714285726,-0.05650000000000001,-0.13515357142857143,0.12138928571428571,-1.2811464285714287,-1.3092785714285713,0.08564285714285716
libaom-v3.12.0,Still,F2,0.19861724137931033,-0.1377931034482758,-0.33670344827586207,0.17631379310344827,-0.0019241379310344698,-0.22783103448275863,-1.010237931034483,-0.8601172413793103,-0.4916655172413793,0.23189999999999997,0.19861724137931033,-0.1377931034482758,-0.33670344827586207,0.19453793103448275
libaom-v3.12.0-unconstrained,AI,A1,0.9675125,-2.146775,-2.6057625,0.525975,0.5206,0.9470375,0.8791625,0.510675,0.46381249999999996,-0.9283625,0.9669,-2.1436625,-2.6004125,0.5179625
libaom-v3.12.0-unconstrained,AI,A2,0.8676105263157895,-0.2567315789473684,-0.4400736842105263,0.7411947368421052,0.43528947368421056,0.3318736842105263,0.7556157894736842,0.7035789473684211,1.032057894736842,1.3821736842105263,0.865378947368421,-0.25747894736842103,-0.4434421052631578,0.7626631578947368
libaom-v3.12.0-unconstrained,AI,A3,0.41883750000000003,-2.2077875,-2.8546625,0.1322,-0.18470000000000003,-0.104075,0.952475,0.6712625,0.008924999999999999,-0.9660625,0.418925,-2.2047499999999998,-2.8638125,0.15075
