TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,185,18217,34.403865,42.455903,43.652908,10.524422,11.175380,47.372563,45.634481,30.181941,37.505167,34.403865,42.455903,43.652908,1.262615,5058.52,0.71,26267001950908,3060051901,13143986015470,2084956729,4e200cbf79f1b2ac61c84555c37463f5,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,60,2744740,48.847098,52.769143,53.534699,21.207247,29.428690,97.241908,96.624630,50.148091,50.048829,48.847098,52.769143,53.534699,1.060454,34763.52,1.87,254850065268095,6869710165,117684596272747,5073363374,737c17d0810d2df1caffc6d0554a0501,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,85,1435389,43.726086,50.600036,51.307071,16.540077,24.490544,96.860166,95.901993,46.439310,46.068058,43.726086,50.600036,51.307071,7.515907,24124.69,1.29,166891423780586,5093580247,67375024327468,3436062603,4c9b4c154de19a9de1b3923b4c95de6f,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,110,744858,39.841170,48.386403,49.206640,14.501110,22.151954,95.453220,94.022293,43.587613,43.210666,39.841170,48.386403,49.206640,11.293563,17749.29,1.25,126753570625618,5304344349,49565815453599,3581578687,54805133e68cfb5fcf76fe1f16fd1f69,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,135,371779,36.128942,46.243465,47.173401,13.436144,20.497410,91.490223,89.367459,40.150094,40.641584,36.128942,46.243465,47.173401,11.035923,31320.99,1.02,219810109596768,4622045283,87469295121815,2825625911,e1f9ba77ded04fbc5271a863a16e7fc4,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,160,171107,32.258256,44.025037,44.920404,12.115430,18.171040,82.098023,79.163233,35.173186,37.922235,32.258256,44.025037,44.920404,10.641549,22842.55,0.79,162011892229410,3486686836,63792150270328,2231585968,37e32182a65bc37e623b1873cf8e86d0,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,185,72798,28.503072,41.371012,42.353156,10.347975,14.999251,66.001319,62.589850,29.348422,34.901038,28.503072,41.371012,42.353156,8.345898,19539.57,0.86,109836905193225,3117813531,50805510906591,2522490931,f45ef4a2c730c733c42c0f09c0d69414,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,60,6062561,48.359563,50.760552,50.653568,28.404203,37.778028,97.067995,96.356306,55.131362,47.034657,48.359563,50.760552,50.653568,0.002739,14692.62,2.55,106346973619473,11439960877,41030106789761,6698739813,ff55d58ac812d81b30a4d96fa8418679,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,85,4217296,42.576829,47.933802,47.728582,22.537040,31.771192,96.382943,95.268393,50.790429,42.911558,42.576829,47.933802,47.728582,0.003403,18507.75,2.45,135036871318924,10561950120,51687752842892,6636949093,8510be94c9be79e1629ef419002d8827,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,110,2615308,36.806903,45.467690,45.095620,17.345282,25.868209,94.362107,92.754565,44.986916,38.723354,36.806903,45.467690,45.095620,0.005869,38818.34,2.24,289751318096134,9037104388,108403034640035,6110427531,63204673b996e625ee73299c22155829,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,135,1357158,31.595785,43.052344,42.569439,13.136140,20.606726,88.967749,86.757527,37.845328,34.650472,31.595785,43.052344,42.569439,0.012996,89300.53,1.54,637302727727093,6968607596,249398033562586,4209275855,077e42614f8409337764f9e615b5ae98,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,160,623508,27.220293,40.620796,40.020796,9.634454,15.820643,74.162753,72.002041,30.146933,30.895531,27.220293,40.620796,40.020796,0.025499,75118.14,1.30,530400299578140,5393224345,209778523877067,3581148697,29e9168c73affa2a79c04cb76fa62129,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,185,259631,23.479090,38.389013,37.732685,6.601254,11.497844,49.544540,47.550523,23.390255,27.372038,23.479090,38.389013,37.732685,0.053640,49650.52,0.80,345477918972283,4244317589,138653733692139,2922693745,52e07fd8dd8847614a30e84436e83c24,
