TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,8938.582648,41.662515,44.454920,44.101562,26.354858,22.864643,96.534048,94.393081,44.923020,40.304770,41.441405,44.401299,44.042389,0.000024,13040.49,4.67,76864053134018,22774549289,33959386702067,13201877225,f911bc16a49fa35a3b16023f1f6a25d6,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,3282.159072,39.141687,42.831911,42.887822,22.967210,19.915695,92.024965,89.653022,40.553599,38.424503,38.856620,42.780713,42.843984,0.000174,8981.13,2.45,67148948303605,16482446713,25081583415183,6799944004,0ef30d38d7bd014a41bdf8ee8e111fc0,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1182.357335,36.129645,41.111327,41.544497,18.718057,16.299529,82.272292,79.839600,35.586036,36.184299,35.833553,41.065509,41.509446,0.002885,7055.81,2.03,43251285439775,14979894989,18396090690925,5683553190,da3d7b60dd2688f636c4e8bf959a10bd,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,413.549527,33.150253,39.394996,40.174430,14.299516,12.742948,66.092640,63.465720,30.982811,33.851608,32.922816,39.363097,40.151756,0.014558,4055.39,2.25,27968531197664,14983343658,11401434240291,6354238571,e249a4c9d7cdd2ecfa6630735ba921af,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,152.177668,30.323451,37.633409,38.549721,10.169783,9.536994,42.006610,40.349938,27.027582,31.506373,30.195256,37.615380,38.537673,0.030624,2101.09,1.88,17345223201209,13670193420,7178730400261,5428060692,834e2bc647ea5cc4925682a0e2226f2a,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,64.300008,27.587728,35.730329,36.357737,6.667822,6.767965,18.188522,17.694463,23.669938,29.204468,27.527118,35.721405,36.354150,0.126430,1210.82,1.33,9614246772685,3403841384,3381030954589,3646749570,8199da6b9d12c422739259942007f15f,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,24732.574502,41.168760,43.463904,45.646421,30.516447,26.832787,99.975549,99.460187,47.210911,41.329034,41.029191,43.371216,45.576916,0.149985,13282.46,10.33,90670171958469,43187445870,37091170464049,27394775416,491ad540988e7fc3e07393927955019f,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,11466.290018,37.200090,41.032029,43.053951,25.781501,22.694554,96.188756,94.391450,40.515460,38.452773,37.063701,40.969481,43.020671,0.180115,14569.77,7.09,103707836020391,31179309351,40684668097559,18934215919,e3b0c76baf8ca809b02a8d170cd51e76,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,4990.037655,33.042357,38.913574,40.720206,20.663726,18.152108,85.237501,83.348381,33.697017,35.361728,32.903241,38.860616,40.706716,0.178829,14849.98,4.56,87289957975384,20375467443,38661084811937,13116936903,e5204afbd42d7c6a4d67147d78f2134a,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,2029.611004,29.174734,37.346672,38.627250,15.679216,13.755685,66.910340,65.099080,27.855000,32.335930,29.041807,37.294869,38.619223,0.191082,8193.55,3.54,64651964187894,12422194389,27910497573980,9583880077,4d56e59f712958139a8ce737b0595bbe,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,704.946746,25.735694,35.495207,36.313265,11.014994,9.762072,43.108445,41.655609,23.035748,29.313578,25.629547,35.469820,36.309368,0.195885,5924.37,2.00,39997208569951,5857458398,16628675561346,5373591869,83839372ed5de58b0daed21b4f3bbaf8,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,215.341581,23.024446,33.249034,33.876700,7.346365,6.744794,19.254968,18.558709,19.479559,26.585994,22.964027,33.247164,33.875236,0.027677,3584.14,1.25,22584782505856,3573890493,9351122890756,3352765755,11556e4704f942ca9b69c1550883c9e6,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,110,56411.095385,38.208394,39.835088,40.602591,24.872667,20.918444,99.976479,99.782411,43.252393,36.954054,37.988830,39.703780,40.488374,0.000759,34937.97,14.18,195299048461033,82236254608,91250556637530,39601168275,13ac91aa2e094123c7367518876c05b7,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,135,23455.806154,34.539405,37.415210,38.029076,21.685833,18.175072,95.149827,93.253133,37.725889,34.437298,34.396616,37.338355,37.951564,0.001201,29130.53,12.57,199048318508821,58753060665,81355712248184,33608033709,9ec3ceee1134780afabbe91483a7937c,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,160,9422.698462,30.798603,35.232384,35.704576,17.603593,14.853958,80.404060,78.434765,31.602948,31.898322,30.670394,35.183000,35.654226,0.001930,20801.49,8.00,155809450867609,39273509681,70852442297881,21410756745,96d176d970930842d13ca9cde6fa9f12,
